x	y
0	1
0.82673	0.67728
1.6535	-0.082579
2.4802	-0.78914
3.3069	-0.98636
4.1337	-0.54695
4.9604	0.24549
5.7871	0.87947
6.6139	0.94582
7.4406	0.4017
8.2673	-0.4017
9.0941	-0.94582
9.9208	-0.87947
10.748	-0.24549
11.574	0.54695
12.401	0.98636
13.228	0.78914
14.054	0.082579
14.881	-0.67728
15.708	-1


z	spline	int_spline	cos(z)
6.0091	-0.23229	0.032939	0.5306
6.1145	-0.15855	0.012048	0.84217
6.2199	-0.060252	0.00037186	0.9965
6.3254	0.04603	-0.00037512	0.99359
6.4308	0.14372	0.009775	0.83344
6.5362	0.21633	0.029043	0.52462
6.6416	0.25316	0.054118	0.17195
6.747	0.25214	0.081091	-0.1936
6.8525	0.21189	0.1059	-0.57202
6.9579	0.13108	0.12434	-0.96332
7.0633	0.0083568	0.13206	-1.3636
7.1687	-0.15213	0.12475	-1.653
7.2742	-0.33428	0.099228	-1.7747
7.3796	-0.52043	0.054132	-1.7288
7.485	-0.69289	-0.010021	-1.5151
7.5904	-0.83398	-0.090858	-1.1341
7.6958	-0.92963	-0.18424	-0.68047
7.8013	-0.97746	-0.28519	-0.22682
7.9067	-0.97746	-0.38865	0.22682
8.0121	-0.92963	-0.4896	0.68047
8.1175	-0.83398	-0.58298	1.1341
8.223	-0.69289	-0.66382	1.5151
8.3284	-0.52043	-0.72797	1.7288
8.4338	-0.33428	-0.77307	1.7747
8.5392	-0.15213	-0.79859	1.653
8.6447	0.0083568	-0.8059	1.3636
8.7501	0.13108	-0.79818	0.96332
8.8555	0.21189	-0.77974	0.57202
8.9609	0.25214	-0.75493	0.1936
9.0663	0.25316	-0.72796	-0.17195
9.1718	0.21633	-0.70288	-0.52462
9.2772	0.14372	-0.68361	-0.83344
9.3826	0.04603	-0.67346	-0.99359
9.488	-0.060252	-0.67421	-0.9965
9.5935	-0.15855	-0.68589	-0.84217
9.6989	-0.23229	-0.70678	-0.5306
9.8043	-0.26538	-0.73343	-0.088182
9.9097	-0.25191	-0.76109	0.3371
10.015	-0.19571	-0.78504	0.72225
10.121	-0.10103	-0.801	1.0673
10.226	0.027903	-0.80514	1.3721
10.331	0.18675	-0.79406	1.6282
10.437	0.36603	-0.76503	1.7462
10.542	0.54925	-0.71675	1.7028
10.648	0.71939	-0.64969	1.498
10.753	0.85944	-0.56612	1.1319
10.859	0.95243	-0.47013	0.61065
10.964	0.98841	-0.36734	0.080911
11.069	0.97136	-0.26359	-0.39552
11.175	0.90689	-0.1642	-0.81865
11.28	0.80063	-0.073849	-1.1885
11.386	0.65819	0.0033405	-1.5044
11.491	0.48762	0.063924	-1.7052
11.596	0.30415	0.1057	-1.7493
